CCAA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,hoja
"Madrid, Comunidad de",99.2813880161616,99.0739275549721,98.9953328011444,99.8612046086506,99.0686087426158,98.366695866433,98.6530843548186,99.2688733601189,98.9640644818466,99.5413659233887,100.490067395415,101.042230422217,100.34111674556,100.244255670727,100.663699311464,100.694291517951,100.392714192527,Dimensión 1
"Madrid, Comunidad de",102.443178911338,101.286921973919,100.068555448859,98.7863463664475,98.1993859101483,97.2170322158252,97.7541060872,98.1764896900205,98.3035587311643,99.4674699824116,101.094265171252,102.040018379367,101.949573150067,101.896526554487,102.562629652186,103.439217688157,104.155570930902,Dimensión 2
"Madrid, Comunidad de",103.489365738653,103.026298811517,103.10305012318,103.627107594859,105.494034372227,102.491987132696,105.12297850845,105.432678198573,106.33401204793,108.51308451128,105.886130092457,108.111280063806,104.024468912123,104.006636391542,106.388545215825,104.335901332306,105.449333990095,Dimensión 3
"Madrid, Comunidad de",104.808558577724,104.300916543399,105.974979219627,108.170192095952,107.496162217583,108.298555012232,107.807105705462,108.089663726505,108.526886441552,108.651639210623,108.892132716747,109.861059218037,111.008167172322,112.861069193461,113.545968962931,112.890669056648,113.492920632934,Dimensión 4
"Madrid, Comunidad de",101.086654506126,101.086654506126,101.086654506126,101.086654506126,101.086654506126,101.086654506126,101.086654506126,102.394647205905,102.394647205905,102.394647205905,99.109254190883,99.109254190883,99.109254190883,98.552798508978,95.3501099189013,95.4073999273013,95.2045875911194,Dimensión 5
"Madrid, Comunidad de",93.4582932109055,93.2009667723959,94.386103056016,94.8701112472706,95.5010514836601,93.403969896382,94.9447173286731,95.4320059209556,95.8146283981277,96.0069303040094,94.9934832742016,94.7445718829028,96.7309323152914,96.1178740543064,95.1105274940558,95.6223243242675,96.1536081116229,Dimensión 6
"Madrid, Comunidad de",102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,102.848400898167,101.76063831613,101.76063831613,101.76063831613,Dimensión 7
"Madrid, Comunidad de",99.3572618849752,99.0778712791094,102.055687990721,102.390808345245,103.10468827237,100.981019716395,101.151855244496,101.119730825311,101.611488635309,103.697768006747,101.150977987285,101.817028647329,101.035742952961,100.827066732971,100.532740211562,101.924769915676,101.845541545156,Dimensión 8
"Madrid, Comunidad de",99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,99.1393199595814,103.59785104963,103.59785104963,103.59785104963,102.76895459142,101.901474778337,101.860155015715,102.045494836159,Dimensión 9
"Madrid, Comunidad de",100.656935744848,100.337919811021,100.850898222602,101.197793958033,101.32647848472,100.425959467093,100.945358065886,101.32242330946,101.548556311065,102.251180666902,102.00695141956,102.57463275026,102.293945265223,102.235953621784,101.979592651266,101.992818566017,102.277823349627,AMPI_Global
