dim,año,valor_evolucion,dim_num
5. Ocio y relaciones sociales,2021,97.7924986598586,5.0
6. Seguridad física y personal,2021,101.359731669014,6.0
7. Gobernanza y derechos básicos,2021,100.0,7.0
8. Entorno y medioambiente,2021,102.020775531424,8.0
9. Experiencia general de la vida,2021,103.692515079833,9.0
Global,2022,101.138772195429,
1. Condiciones materiales de vida,2022,100.187631468766,1.0
2. Trabajo,2022,100.830857368917,2.0
3. Salud,2022,103.069806201933,3.0
4. Educación,2022,108.99867333493,4.0
5. Ocio y relaciones sociales,2022,94.1531287025554,5.0
6. Seguridad física y personal,2022,100.417957131694,6.0
7. Gobernanza y derechos básicos,2022,98.5620685459341,7.0
8. Entorno y medioambiente,2022,101.542259520291,8.0
9. Experiencia general de la vida,2022,102.486567483843,9.0
Global,2023,101.202614134272,
1. Condiciones materiales de vida,2023,99.7633779298487,1.0
2. Trabajo,2023,101.756664188453,2.0
3. Salud,2023,101.855348431985,3.0
4. Educación,2023,109.567865588266,4.0
5. Ocio y relaciones sociales,2023,94.1341094830543,5.0
6. Seguridad física y personal,2023,100.227728855035,6.0
7. Gobernanza y derechos básicos,2023,98.5620685459341,7.0
8. Entorno y medioambiente,2023,101.998836790235,8.0
9. Experiencia general de la vida,2023,102.957527395635,9.0
Global,2024,101.467222585803,
1. Condiciones materiales de vida,2024,99.9836882186837,1.0
2. Trabajo,2024,102.335091501436,2.0
3. Salud,2024,103.285735708769,3.0
4. Educación,2024,110.112882409822,4.0
5. Ocio y relaciones sociales,2024,93.9012532467569,5.0
6. Seguridad física y personal,2024,100.292223505576,6.0
7. Gobernanza y derechos básicos,2024,98.5620685459341,7.0
8. Entorno y medioambiente,2024,102.030264416561,8.0
9. Experiencia general de la vida,2024,102.701795718685,9.0
