cod_postal_local,hora_cierre_media,num_locales,num_terrazas
28001.0,2.391304347826087,5467,111
28002.0,1.34,4873,159
28003.0,2.857142857142857,4053,190
28004.0,1.5128205128205128,6274,151
28005.0,1.8061224489795917,5675,310
28006.0,2.689655172413793,5154,193
28007.0,1.709090909090909,3532,133
28008.0,1.6511627906976745,3254,138
28009.0,2.3947368421052633,3708,225
28010.0,2.4150943396226414,4670,197
28011.0,1.8571428571428572,4406,75
28012.0,2.2241379310344827,6360,240
28013.0,1.3478260869565217,4831,197
28014.0,2.0,3073,76
28015.0,1.8823529411764706,5752,225
28016.0,1.6730769230769231,2527,130
28017.0,1.5363636363636364,6063,101
28018.0,2.34,3226,111
28019.0,1.8876404494382022,5783,114
28020.0,2.809090909090909,6550,217
28021.0,2.0806451612903225,6244,99
28022.0,1.5,3817,133
28023.0,1.2,1583,22
28024.0,3.0416666666666665,2270,85
28025.0,1.34375,5123,111
28026.0,2.329113924050633,4823,74
28027.0,1.7916666666666667,5760,135
28028.0,1.4204545454545454,4242,104
28029.0,2.0,4999,104
28030.0,1.456140350877193,2820,146
28031.0,2.0972222222222223,4373,102
28032.0,1.3934426229508197,2229,98
28033.0,2.9836065573770494,3841,73
28034.0,2.48,2994,64
28035.0,1.903225806451613,1907,61
28036.0,2.3488372093023258,2544,163
28037.0,2.5833333333333335,3288,93
28038.0,1.509090909090909,3942,123
28039.0,1.5396825396825398,4698,65
28040.0,1.1428571428571428,796,17
28041.0,2.1690140845070425,3001,151
28042.0,2.3421052631578947,3102,102
28043.0,1.7857142857142858,4377,117
28044.0,1.9056603773584906,3097,81
28045.0,2.0865384615384617,4865,246
28046.0,3.90625,2774,77
28047.0,2.7222222222222223,3142,85
28048.0,,182,8
28049.0,2.55,792,63
28050.0,3.111111111111111,2476,115
28051.0,5.318181818181818,907,64
28052.0,1.0,488,14
28053.0,1.0571428571428572,4967,89
28054.0,2.769230769230769,965,52
28055.0,1.1818181818181819,548,38
