dim,año,valor_evolucion,dim_num,hoja,CCAA,valor_madrid
1. Condiciones materiales de vida,2014,97.6665768067639,1.0,Dimensión 1,"Madrid, Comunidad de",98.6530843548186
2. Trabajo,2014,94.485209372137,2.0,Dimensión 2,"Madrid, Comunidad de",97.7541060872
3. Salud,2014,101.827690304534,3.0,Dimensión 3,"Madrid, Comunidad de",105.12297850845
4. Educación,2014,102.597361193774,4.0,Dimensión 4,"Madrid, Comunidad de",107.807105705462
5. Ocio y relaciones sociales,2014,100.0,5.0,Dimensión 5,"Madrid, Comunidad de",101.086654506126
6. Seguridad física y personal,2014,101.299776850755,6.0,Dimensión 6,"Madrid, Comunidad de",94.9447173286731
7. Gobernanza y derechos básicos,2014,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2014,102.93328387483,8.0,Dimensión 8,"Madrid, Comunidad de",101.151855244496
9. Experiencia general de la vida,2014,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2015,100.366084518228,,AMPI_Global,"Madrid, Comunidad de",101.32242330946
1. Condiciones materiales de vida,2015,98.2614756922508,1.0,Dimensión 1,"Madrid, Comunidad de",99.2688733601189
2. Trabajo,2015,95.2737819047193,2.0,Dimensión 2,"Madrid, Comunidad de",98.1764896900205
3. Salud,2015,101.969651806272,3.0,Dimensión 3,"Madrid, Comunidad de",105.432678198573
4. Educación,2015,103.020489898978,4.0,Dimensión 4,"Madrid, Comunidad de",108.089663726505
5. Ocio y relaciones sociales,2015,100.327446498006,5.0,Dimensión 5,"Madrid, Comunidad de",102.394647205905
6. Seguridad física y personal,2015,101.881647245457,6.0,Dimensión 6,"Madrid, Comunidad de",95.4320059209556
7. Gobernanza y derechos básicos,2015,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2015,102.560267618365,8.0,Dimensión 8,"Madrid, Comunidad de",101.119730825311
9. Experiencia general de la vida,2015,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2016,100.650384173738,,AMPI_Global,"Madrid, Comunidad de",101.548556311065
1. Condiciones materiales de vida,2016,98.5522387855888,1.0,Dimensión 1,"Madrid, Comunidad de",98.9640644818466
2. Trabajo,2016,96.1112716819917,2.0,Dimensión 2,"Madrid, Comunidad de",98.3035587311643
3. Salud,2016,102.607826536499,3.0,Dimensión 3,"Madrid, Comunidad de",106.33401204793
4. Educación,2016,103.350112837397,4.0,Dimensión 4,"Madrid, Comunidad de",108.526886441552
5. Ocio y relaciones sociales,2016,100.327446498006,5.0,Dimensión 5,"Madrid, Comunidad de",102.394647205905
6. Seguridad física y personal,2016,101.915851439392,6.0,Dimensión 6,"Madrid, Comunidad de",95.8146283981277
7. Gobernanza y derechos básicos,2016,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2016,102.988709784767,8.0,Dimensión 8,"Madrid, Comunidad de",101.611488635309
9. Experiencia general de la vida,2016,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2017,101.096815526631,,AMPI_Global,"Madrid, Comunidad de",102.251180666902
1. Condiciones materiales de vida,2017,99.6663861946914,1.0,Dimensión 1,"Madrid, Comunidad de",99.5413659233887
2. Trabajo,2017,97.2315443225861,2.0,Dimensión 2,"Madrid, Comunidad de",99.4674699824116
3. Salud,2017,103.568939139066,3.0,Dimensión 3,"Madrid, Comunidad de",108.51308451128
4. Educación,2017,103.840667395991,4.0,Dimensión 4,"Madrid, Comunidad de",108.651639210623
5. Ocio y relaciones sociales,2017,100.327446498006,5.0,Dimensión 5,"Madrid, Comunidad de",102.394647205905
6. Seguridad física y personal,2017,102.126779721743,6.0,Dimensión 6,"Madrid, Comunidad de",96.0069303040094
7. Gobernanza y derechos básicos,2017,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2017,103.109576467592,8.0,Dimensión 8,"Madrid, Comunidad de",103.697768006747
9. Experiencia general de la vida,2017,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2018,101.584055422948,,AMPI_Global,"Madrid, Comunidad de",102.00695141956
1. Condiciones materiales de vida,2018,100.448143858524,1.0,Dimensión 1,"Madrid, Comunidad de",100.490067395415
2. Trabajo,2018,98.9582353034592,2.0,Dimensión 2,"Madrid, Comunidad de",101.094265171252
3. Salud,2018,102.881002992346,3.0,Dimensión 3,"Madrid, Comunidad de",105.886130092457
4. Educación,2018,104.54700237752,4.0,Dimensión 4,"Madrid, Comunidad de",108.892132716747
5. Ocio y relaciones sociales,2018,98.5401074878562,5.0,Dimensión 5,"Madrid, Comunidad de",99.109254190883
6. Seguridad física y personal,2018,101.521352696219,6.0,Dimensión 6,"Madrid, Comunidad de",94.9934832742016
7. Gobernanza y derechos básicos,2018,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2018,102.956436123702,8.0,Dimensión 8,"Madrid, Comunidad de",101.150977987285
9. Experiencia general de la vida,2018,104.404217966906,9.0,Dimensión 9,"Madrid, Comunidad de",103.59785104963
Global,2019,101.906591734275,,AMPI_Global,"Madrid, Comunidad de",102.57463275026
1. Condiciones materiales de vida,2019,101.04875810641,1.0,Dimensión 1,"Madrid, Comunidad de",101.042230422217
2. Trabajo,2019,99.7471885028981,2.0,Dimensión 2,"Madrid, Comunidad de",102.040018379367
3. Salud,2019,103.869402475185,3.0,Dimensión 3,"Madrid, Comunidad de",108.111280063806
4. Educación,2019,105.032832991711,4.0,Dimensión 4,"Madrid, Comunidad de",109.861059218037
5. Ocio y relaciones sociales,2019,98.5401074878562,5.0,Dimensión 5,"Madrid, Comunidad de",99.109254190883
6. Seguridad física y personal,2019,101.150133081683,6.0,Dimensión 6,"Madrid, Comunidad de",94.7445718829028
7. Gobernanza y derechos básicos,2019,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2019,103.366684995824,8.0,Dimensión 8,"Madrid, Comunidad de",101.817028647329
9. Experiencia general de la vida,2019,104.404217966906,9.0,Dimensión 9,"Madrid, Comunidad de",103.59785104963
Global,2020,101.633697084907,,AMPI_Global,"Madrid, Comunidad de",102.293945265223
1. Condiciones materiales de vida,2020,100.067924913826,1.0,Dimensión 1,"Madrid, Comunidad de",100.34111674556
2. Trabajo,2020,99.9237606511701,2.0,Dimensión 2,"Madrid, Comunidad de",101.949573150067
3. Salud,2020,102.048269003386,3.0,Dimensión 3,"Madrid, Comunidad de",104.024468912123
4. Educación,2020,105.865869933722,4.0,Dimensión 4,"Madrid, Comunidad de",111.008167172322
5. Ocio y relaciones sociales,2020,98.5401074878562,5.0,Dimensión 5,"Madrid, Comunidad de",99.109254190883
6. Seguridad física y personal,2020,101.817448738862,6.0,Dimensión 6,"Madrid, Comunidad de",96.7309323152914
7. Gobernanza y derechos básicos,2020,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2020,102.035675068434,8.0,Dimensión 8,"Madrid, Comunidad de",101.035742952961
9. Experiencia general de la vida,2020,104.404217966906,9.0,Dimensión 9,"Madrid, Comunidad de",103.59785104963
Global,2021,101.559292784177,,AMPI_Global,"Madrid, Comunidad de",102.235953621784
1. Condiciones materiales de vida,2021,99.8221443292548,1.0,Dimensión 1,"Madrid, Comunidad de",100.244255670727
2. Trabajo,2021,99.6276985849932,2.0,Dimensión 2,"Madrid, Comunidad de",101.896526554487
3. Salud,2021,101.298106200796,3.0,Dimensión 3,"Madrid, Comunidad de",104.006636391542
4. Educación,2021,108.420165002421,4.0,Dimensión 4,"Madrid, Comunidad de",112.861069193461
5. Ocio y relaciones sociales,2021,97.7924986598586,5.0,Dimensión 5,"Madrid, Comunidad de",98.552798508978
6. Seguridad física y personal,2021,101.359731669014,6.0,Dimensión 6,"Madrid, Comunidad de",96.1178740543064
7. Gobernanza y derechos básicos,2021,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2021,102.020775531424,8.0,Dimensión 8,"Madrid, Comunidad de",100.827066732971
9. Experiencia general de la vida,2021,103.692515079833,9.0,Dimensión 9,"Madrid, Comunidad de",102.76895459142
Global,2022,101.138772195429,,AMPI_Global,"Madrid, Comunidad de",101.979592651266
1. Condiciones materiales de vida,2022,100.187631468766,1.0,Dimensión 1,"Madrid, Comunidad de",100.663699311464
2. Trabajo,2022,100.830857368917,2.0,Dimensión 2,"Madrid, Comunidad de",102.562629652186
3. Salud,2022,103.069806201933,3.0,Dimensión 3,"Madrid, Comunidad de",106.388545215825
4. Educación,2022,108.99867333493,4.0,Dimensión 4,"Madrid, Comunidad de",113.545968962931
5. Ocio y relaciones sociales,2022,94.1531287025554,5.0,Dimensión 5,"Madrid, Comunidad de",95.3501099189013
6. Seguridad física y personal,2022,100.417957131694,6.0,Dimensión 6,"Madrid, Comunidad de",95.1105274940558
7. Gobernanza y derechos básicos,2022,98.5620685459341,7.0,Dimensión 7,"Madrid, Comunidad de",101.76063831613
8. Entorno y medioambiente,2022,101.542259520291,8.0,Dimensión 8,"Madrid, Comunidad de",100.532740211562
9. Experiencia general de la vida,2022,102.486567483843,9.0,Dimensión 9,"Madrid, Comunidad de",101.901474778337
Global,2023,101.202614134272,,AMPI_Global,"Madrid, Comunidad de",101.992818566017
1. Condiciones materiales de vida,2023,99.7633779298487,1.0,Dimensión 1,"Madrid, Comunidad de",100.694291517951
2. Trabajo,2023,101.756664188453,2.0,Dimensión 2,"Madrid, Comunidad de",103.439217688157
3. Salud,2023,101.855348431985,3.0,Dimensión 3,"Madrid, Comunidad de",104.335901332306
