Sexo	Edad	Salud mental	SI o NO_salud mental	periodo	Total
Hombres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	15,75
Hombres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	13,69
Hombres	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	84,25
Hombres	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	86,31
Hombres	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	15,48
Hombres	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	15,48
Hombres	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Durante pandemia	84,52
Hombres	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	84,52
Hombres	De 45 a 64 años	Problemas para dormir	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Problemas para dormir	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Problemas para dormir	Sí	Durante pandemia	15,99
Hombres	De 45 a 64 años	Problemas para dormir	Sí	Anterior a pandemia	15,57
Hombres	De 45 a 64 años	Problemas para dormir	No	Durante pandemia	84,01
Hombres	De 45 a 64 años	Problemas para dormir	No	Anterior a pandemia	84,43
Hombres	De 45 a 64 años	Sensación de cansancio	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Sensación de cansancio	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Sensación de cansancio	Sí	Durante pandemia	13,73
Hombres	De 45 a 64 años	Sensación de cansancio	Sí	Anterior a pandemia	18,23
Hombres	De 45 a 64 años	Sensación de cansancio	No	Durante pandemia	86,27
Hombres	De 45 a 64 años	Sensación de cansancio	No	Anterior a pandemia	81,77
Hombres	De 45 a 64 años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Poco apetido o comer demasiado	Sí	Durante pandemia	5,36
Hombres	De 45 a 64 años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	7,89
Hombres	De 45 a 64 años	Poco apetido o comer demasiado	No	Durante pandemia	94,64
Hombres	De 45 a 64 años	Poco apetido o comer demasiado	No	Anterior a pandemia	92,11
Hombres	De 45 a 64 años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Sentirse mal con uno mismo	Sí	Durante pandemia	4,15
Hombres	De 45 a 64 años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	6,48
Hombres	De 45 a 64 años	Sentirse mal con uno mismo	No	Durante pandemia	95,85
Hombres	De 45 a 64 años	Sentirse mal con uno mismo	No	Anterior a pandemia	93,52
Hombres	De 45 a 64 años	Problemas para concentrarse	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Problemas para concentrarse	Sí	Durante pandemia	4,75
Hombres	De 45 a 64 años	Problemas para concentrarse	Sí	Anterior a pandemia	5,85
Hombres	De 45 a 64 años	Problemas para concentrarse	No	Durante pandemia	95,25
Hombres	De 45 a 64 años	Problemas para concentrarse	No	Anterior a pandemia	94,15
Hombres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Hombres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Hombres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	2,87
Hombres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	3,89
Hombres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	97,13
Hombres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	96,11
Hombres	De 65 y más años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	17,64
Hombres	De 65 y más años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	17,65
Hombres	De 65 y más años	Poco interés o alegría por hacer cosas	No	Durante pandemia	82,36
Hombres	De 65 y más años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	82,35
Hombres	De 65 y más años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	18,10
Hombres	De 65 y más años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	19,12
Hombres	De 65 y más años	Sensación de estar decaído o deprimido	No	Durante pandemia	81,90
Hombres	De 65 y más años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	80,88
Hombres	De 65 y más años	Problemas para dormir	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Problemas para dormir	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Problemas para dormir	Sí	Durante pandemia	20,26
Hombres	De 65 y más años	Problemas para dormir	Sí	Anterior a pandemia	20,02
Hombres	De 65 y más años	Problemas para dormir	No	Durante pandemia	79,74
Hombres	De 65 y más años	Problemas para dormir	No	Anterior a pandemia	79,98
Hombres	De 65 y más años	Sensación de cansancio	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Sensación de cansancio	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Sensación de cansancio	Sí	Durante pandemia	17,34
Hombres	De 65 y más años	Sensación de cansancio	Sí	Anterior a pandemia	24,54
Hombres	De 65 y más años	Sensación de cansancio	No	Durante pandemia	82,66
Hombres	De 65 y más años	Sensación de cansancio	No	Anterior a pandemia	75,46
Hombres	De 65 y más años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Poco apetido o comer demasiado	Sí	Durante pandemia	11,58
Hombres	De 65 y más años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	11,40
Hombres	De 65 y más años	Poco apetido o comer demasiado	No	Durante pandemia	88,42
Hombres	De 65 y más años	Poco apetido o comer demasiado	No	Anterior a pandemia	88,60
Hombres	De 65 y más años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Sentirse mal con uno mismo	Sí	Durante pandemia	5,98
Hombres	De 65 y más años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	7,53
Hombres	De 65 y más años	Sentirse mal con uno mismo	No	Durante pandemia	94,02
Hombres	De 65 y más años	Sentirse mal con uno mismo	No	Anterior a pandemia	92,47
Hombres	De 65 y más años	Problemas para concentrarse	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Problemas para concentrarse	Sí	Durante pandemia	8,90
Hombres	De 65 y más años	Problemas para concentrarse	Sí	Anterior a pandemia	9,48
Hombres	De 65 y más años	Problemas para concentrarse	No	Durante pandemia	91,10
Hombres	De 65 y más años	Problemas para concentrarse	No	Anterior a pandemia	90,52
Hombres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Hombres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Hombres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	7,71
Hombres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	7,90
Hombres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	92,29
Hombres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	92,10
Mujeres	TOTAL	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Mujeres	TOTAL	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	25,41
Mujeres	TOTAL	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	20,38
Mujeres	TOTAL	Poco interés o alegría por hacer cosas	No	Durante pandemia	74,59
Mujeres	TOTAL	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	79,62
Mujeres	TOTAL	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Mujeres	TOTAL	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Sensación de estar decaído o deprimido	Sí	Durante pandemia	26,85
Mujeres	TOTAL	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	22,52
Mujeres	TOTAL	Sensación de estar decaído o deprimido	No	Durante pandemia	73,15
Mujeres	TOTAL	Sensación de estar decaído o deprimido	No	Anterior a pandemia	77,48
Mujeres	TOTAL	Problemas para dormir	Total	Durante pandemia	100,00
Mujeres	TOTAL	Problemas para dormir	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Problemas para dormir	Sí	Durante pandemia	25,95
Mujeres	TOTAL	Problemas para dormir	Sí	Anterior a pandemia	23,24
Mujeres	TOTAL	Problemas para dormir	No	Durante pandemia	74,05
Mujeres	TOTAL	Problemas para dormir	No	Anterior a pandemia	76,76
Mujeres	TOTAL	Sensación de cansancio	Total	Durante pandemia	100,00
Mujeres	TOTAL	Sensación de cansancio	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Sensación de cansancio	Sí	Durante pandemia	25,35
Mujeres	TOTAL	Sensación de cansancio	Sí	Anterior a pandemia	30,41
Mujeres	TOTAL	Sensación de cansancio	No	Durante pandemia	74,65
Mujeres	TOTAL	Sensación de cansancio	No	Anterior a pandemia	69,59
Mujeres	TOTAL	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Mujeres	TOTAL	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Poco apetido o comer demasiado	Sí	Durante pandemia	12,92
Mujeres	TOTAL	Poco apetido o comer demasiado	Sí	Anterior a pandemia	14,32
Mujeres	TOTAL	Poco apetido o comer demasiado	No	Durante pandemia	87,08
Mujeres	TOTAL	Poco apetido o comer demasiado	No	Anterior a pandemia	85,68
Mujeres	TOTAL	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Mujeres	TOTAL	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Sentirse mal con uno mismo	Sí	Durante pandemia	8,17
Mujeres	TOTAL	Sentirse mal con uno mismo	Sí	Anterior a pandemia	10,24
Mujeres	TOTAL	Sentirse mal con uno mismo	No	Durante pandemia	91,83
Mujeres	TOTAL	Sentirse mal con uno mismo	No	Anterior a pandemia	89,76
Mujeres	TOTAL	Problemas para concentrarse	Total	Durante pandemia	100,00
Mujeres	TOTAL	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Problemas para concentrarse	Sí	Durante pandemia	9,21
Mujeres	TOTAL	Problemas para concentrarse	Sí	Anterior a pandemia	10,48
Mujeres	TOTAL	Problemas para concentrarse	No	Durante pandemia	90,79
Mujeres	TOTAL	Problemas para concentrarse	No	Anterior a pandemia	89,52
Mujeres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Mujeres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Mujeres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	7,19
Mujeres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	7,61
Mujeres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	92,81
Mujeres	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	92,39
Mujeres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	20,14
Mujeres	De 15 a 44 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	13,76
Mujeres	De 15 a 44 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	79,86
Mujeres	De 15 a 44 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	86,24
Mujeres	De 15 a 44 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	18,93
Mujeres	De 15 a 44 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	14,37
Mujeres	De 15 a 44 años	Sensación de estar decaído o deprimido	No	Durante pandemia	81,07
Mujeres	De 15 a 44 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	85,63
Mujeres	De 15 a 44 años	Problemas para dormir	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Problemas para dormir	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Problemas para dormir	Sí	Durante pandemia	19,23
Mujeres	De 15 a 44 años	Problemas para dormir	Sí	Anterior a pandemia	15,60
Mujeres	De 15 a 44 años	Problemas para dormir	No	Durante pandemia	80,77
Mujeres	De 15 a 44 años	Problemas para dormir	No	Anterior a pandemia	84,40
Mujeres	De 15 a 44 años	Sensación de cansancio	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Sensación de cansancio	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Sensación de cansancio	Sí	Durante pandemia	19,65
Mujeres	De 15 a 44 años	Sensación de cansancio	Sí	Anterior a pandemia	24,74
Mujeres	De 15 a 44 años	Sensación de cansancio	No	Durante pandemia	80,35
Mujeres	De 15 a 44 años	Sensación de cansancio	No	Anterior a pandemia	75,26
Mujeres	De 15 a 44 años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Poco apetido o comer demasiado	Sí	Durante pandemia	10,87
Mujeres	De 15 a 44 años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	11,52
Mujeres	De 15 a 44 años	Poco apetido o comer demasiado	No	Durante pandemia	89,13
Mujeres	De 15 a 44 años	Poco apetido o comer demasiado	No	Anterior a pandemia	88,48
Mujeres	De 15 a 44 años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Sentirse mal con uno mismo	Sí	Durante pandemia	6,16
Mujeres	De 15 a 44 años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	7,02
Mujeres	De 15 a 44 años	Sentirse mal con uno mismo	No	Durante pandemia	93,84
Mujeres	De 15 a 44 años	Sentirse mal con uno mismo	No	Anterior a pandemia	92,98
Mujeres	De 15 a 44 años	Problemas para concentrarse	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Problemas para concentrarse	Sí	Durante pandemia	4,66
Mujeres	De 15 a 44 años	Problemas para concentrarse	Sí	Anterior a pandemia	5,85
Mujeres	De 15 a 44 años	Problemas para concentrarse	No	Durante pandemia	95,34
Mujeres	De 15 a 44 años	Problemas para concentrarse	No	Anterior a pandemia	94,15
Mujeres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Mujeres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Mujeres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	3,68
Mujeres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	3,64
Mujeres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	96,32
Mujeres	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	96,36
Mujeres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	23,85
Mujeres	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	19,91
Mujeres	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	76,15
Mujeres	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	80,09
Mujeres	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	27,29
Mujeres	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	22,36
Mujeres	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Durante pandemia	72,71
Mujeres	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	77,64
Mujeres	De 45 a 64 años	Problemas para dormir	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Problemas para dormir	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Problemas para dormir	Sí	Durante pandemia	26,66
Mujeres	De 45 a 64 años	Problemas para dormir	Sí	Anterior a pandemia	24,08
Mujeres	De 45 a 64 años	Problemas para dormir	No	Durante pandemia	73,34
Mujeres	De 45 a 64 años	Problemas para dormir	No	Anterior a pandemia	75,92
Mujeres	De 45 a 64 años	Sensación de cansancio	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Sensación de cansancio	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Sensación de cansancio	Sí	Durante pandemia	25,70
Mujeres	De 45 a 64 años	Sensación de cansancio	Sí	Anterior a pandemia	30,42
Mujeres	De 45 a 64 años	Sensación de cansancio	No	Durante pandemia	74,30
Mujeres	De 45 a 64 años	Sensación de cansancio	No	Anterior a pandemia	69,58
Mujeres	De 45 a 64 años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Poco apetido o comer demasiado	Sí	Durante pandemia	11,60
Mujeres	De 45 a 64 años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	13,69
Mujeres	De 45 a 64 años	Poco apetido o comer demasiado	No	Durante pandemia	88,40
Mujeres	De 45 a 64 años	Poco apetido o comer demasiado	No	Anterior a pandemia	86,31
Mujeres	De 45 a 64 años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Sentirse mal con uno mismo	Sí	Durante pandemia	8,62
Mujeres	De 45 a 64 años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	11,16
Mujeres	De 45 a 64 años	Sentirse mal con uno mismo	No	Durante pandemia	91,38
Mujeres	De 45 a 64 años	Sentirse mal con uno mismo	No	Anterior a pandemia	88,84
Mujeres	De 45 a 64 años	Problemas para concentrarse	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Problemas para concentrarse	Sí	Durante pandemia	7,41
Mujeres	De 45 a 64 años	Problemas para concentrarse	Sí	Anterior a pandemia	9,85
Mujeres	De 45 a 64 años	Problemas para concentrarse	No	Durante pandemia	92,59
Mujeres	De 45 a 64 años	Problemas para concentrarse	No	Anterior a pandemia	90,15
Mujeres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Mujeres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Mujeres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	6,19
Mujeres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	7,32
Mujeres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	93,81
Mujeres	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	92,68
Mujeres	De 65 y más años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	36,70
Mujeres	De 65 y más años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	32,46
Mujeres	De 65 y más años	Poco interés o alegría por hacer cosas	No	Durante pandemia	63,30
Mujeres	De 65 y más años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	67,54
Mujeres	De 65 y más años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	39,89
Mujeres	De 65 y más años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	36,78
Mujeres	De 65 y más años	Sensación de estar decaído o deprimido	No	Durante pandemia	60,11
Mujeres	De 65 y más años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	63,22
Mujeres	De 65 y más años	Problemas para dormir	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Problemas para dormir	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Problemas para dormir	Sí	Durante pandemia	36,54
Mujeres	De 65 y más años	Problemas para dormir	Sí	Anterior a pandemia	35,22
Mujeres	De 65 y más años	Problemas para dormir	No	Durante pandemia	63,46
Mujeres	De 65 y más años	Problemas para dormir	No	Anterior a pandemia	64,78
Mujeres	De 65 y más años	Sensación de cansancio	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Sensación de cansancio	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Sensación de cansancio	Sí	Durante pandemia	34,74
Mujeres	De 65 y más años	Sensación de cansancio	Sí	Anterior a pandemia	40,18
Mujeres	De 65 y más años	Sensación de cansancio	No	Durante pandemia	65,26
Mujeres	De 65 y más años	Sensación de cansancio	No	Anterior a pandemia	59,82
Mujeres	De 65 y más años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Poco apetido o comer demasiado	Sí	Durante pandemia	18,31
Mujeres	De 65 y más años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	20,00
Mujeres	De 65 y más años	Poco apetido o comer demasiado	No	Durante pandemia	81,69
Mujeres	De 65 y más años	Poco apetido o comer demasiado	No	Anterior a pandemia	80,00
Mujeres	De 65 y más años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Sentirse mal con uno mismo	Sí	Durante pandemia	11,00
Mujeres	De 65 y más años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	14,51
Mujeres	De 65 y más años	Sentirse mal con uno mismo	No	Durante pandemia	89,00
Mujeres	De 65 y más años	Sentirse mal con uno mismo	No	Anterior a pandemia	85,49
Mujeres	De 65 y más años	Problemas para concentrarse	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Problemas para concentrarse	Sí	Durante pandemia	19,56
Mujeres	De 65 y más años	Problemas para concentrarse	Sí	Anterior a pandemia	19,33
Mujeres	De 65 y más años	Problemas para concentrarse	No	Durante pandemia	80,44
Mujeres	De 65 y más años	Problemas para concentrarse	No	Anterior a pandemia	80,67
Mujeres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
Mujeres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
Mujeres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	14,64
Mujeres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	14,84
Mujeres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	85,36
Mujeres	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	85,16
